"","primary_site","total_samples","probability","ob_same","P-value","CI_lower","CI_upper"
"1","breast",2058,0.0728862973760933,150,7.41906241104761e-13,0.0636737426440467,1
"2","skin",764,0.0693717277486911,53,5.54414045832207e-05,0.0548553636046227,1
"3","pancreas",610,0.114754098360656,70,2.11504656744465e-15,0.0941287914991609,1
"4","brain",22,1,22,1.02399276527245e-31,0.872694568345161,1
