"","Matastatic_Site","Freq","Weight"
"1","bone",4,0.108108108108108
"2","liver",8,0.216216216216216
"3","lung",22,0.594594594594595
"4","other",1,0.027027027027027
"5","peritoneal surfaces",1,0.027027027027027
"6","soft tissue",1,0.027027027027027
