"","Matastatic_Site","Freq","Weight"
"1","bone",17,0.0688259109311741
"2","chest wall",29,0.117408906882591
"3","liver",16,0.0647773279352227
"4","lung",176,0.712550607287449
"5","lymph node",4,0.0161943319838057
"6","peritoneum",4,0.0161943319838057
"7","skin",1,0.00404858299595142
